南瓜燈	南瓜燈 🎃
小啤酒乾杯	小啤酒乾杯 🍻
乾杯	乾杯 🥂
小乾杯	小乾杯 🥂
威士忌	威士忌 🥃
小威士忌	小威士忌 🥃
倒飲料	倒飲料 🫗
液體	液體 🫗 🍼 🥛 ☕ 🫖 🍵 🍶 🍾 🍷 🍸 🍹 🍺 🍻 🥂 🥃 🥤 🧋 🧃 🧉 🧊
小倒飲料	小倒飲料 🫗
吸管杯	吸管杯 🥤
飲料杯	飲料杯 🥤
小吸管杯	小吸管杯 🥤
珍珠奶茶	珍珠奶茶 🧋
奶茶	奶茶 🧋
小珍珠奶茶	小珍珠奶茶 🧋
飲料盒	飲料盒 🧃
小飲料盒	小飲料盒 🧃
小盒飲料	小盒飲料 🧃
馬黛茶	馬黛茶 🧉
小馬黛茶	小馬黛茶 🧉
小茶	小茶 🧉
冰塊	冰塊 🧊
小冰塊	小冰塊 🧊
圓冰塊	圓冰塊 🧊
筷子	筷子 🥢
小筷子	小筷子 🥢
圓筷子	圓筷子 🥢
餐盤	餐盤 🍽️ 🥢 🍴 🥄 🔪 🫙 🏺
餐具	餐具 🍽️ 🥢 🍴 🥄 🔪 🫙 🏺
小餐盤	小餐盤 🍽️
刀叉	刀叉 🍴
餐刀	餐刀 🍴 🥢 🍽️ 🥄 🔪 🫙 🏺
小刀叉	小刀叉 🍴
湯匙	湯匙 🥄
小湯匙	小湯匙 🥄
圓湯匙	圓湯匙 🥄
菜刀	菜刀 🔪
廚刀	廚刀 🔪
小菜刀	小菜刀 🔪
罐子	罐子 🫙
小罐子	小罐子 🫙
圓罐子	圓罐子 🫙
陶罐	陶罐 🏺
小陶罐	小陶罐 🏺
圓陶罐	圓陶罐 🏺
眼鏡	眼鏡 👓 😎 🤓 🧐
近視鏡	近視鏡 👓
眼睛鏡	眼睛鏡 👓
墨鏡	墨鏡 🕶️ 😎 🤓 🧐
太陽鏡	太陽鏡 🕶️
黑眼鏡	黑眼鏡 🕶️
護目鏡	護目鏡 🥽
防護鏡	防護鏡 🥽
安全鏡	安全鏡 🥽
白袍	白袍 🥼
實驗袍	實驗袍 🥼
醫生袍	醫生袍 🥼
反光衣	反光衣 🦺
安全衣	安全衣 🦺
反光背心	反光背心 🦺
領帶	領帶 👔
正裝帶	正裝帶 👔
男士領帶	男士領帶 👔
T恤	T恤 👕
短袖	短袖 👕
圓領衫	圓領衫 👕
牛仔褲	牛仔褲 👖
長褲	長褲 👖
藍褲	藍褲 👖
圍巾	圍巾 🧣
頸巾	頸巾 🧣
保暖巾	保暖巾 🧣
手套	手套 🧤
防護手套	防護手套 🧤
保暖手套	保暖手套 🧤
外套	外套 🧥
大衣	大衣 🧥
保暖衣	保暖衣 🧥
襪子	襪子 🧦
長襪	長襪 🧦
短襪	短襪 🧦
洋裝	洋裝 👗
長裙	長裙 👗
女裝	女裝 👗 👚
和服	和服 👘
日本服裝	日本服裝 👘
傳統服飾	傳統服飾 👘 🥻
莎麗	莎麗 🥻
印度服裝	印度服裝 🥻
連身泳衣	連身泳衣 🩱
泳裝	泳裝 🩱
游泳衣	游泳衣 🩱
三角褲	三角褲 🩲
男士內褲	男士內褲 🩲
短褲	短褲 🩲 🩳
夏季褲子	夏季褲子 🩳
運動褲	運動褲 🩳
比基尼	比基尼 👙
女士泳衣	女士泳衣 👙
海灘服	海灘服 👙
女士服飾	女士服飾 👚
女性衣物	女性衣物 👚
摺扇	摺扇 🪭
手持扇子	手持扇子 🪭
涼扇	涼扇 🪭
錢包	錢包 👛
女士錢包	女士錢包 👛
小包	小包 👛 👝
手提包	手提包 👜
女士包包	女士包包 👜
包袋	包袋 👜
手拿包	手拿包 👝
晚宴包	晚宴包 👝
購物袋	購物袋 🛍️
手提袋	手提袋 🛍️
購物包	購物包 🛍️
背包	背包 🎒
書包	書包 🎒
登山包	登山包 🎒
夾腳拖	夾腳拖 🩴
沙灘拖鞋	沙灘拖鞋 🩴
夏季拖鞋	夏季拖鞋 🩴
男鞋	男鞋 👞
正裝鞋	正裝鞋 👞 👠
皮鞋	皮鞋 👞
跑鞋	跑鞋 👟
運動鞋	運動鞋 👟
慢跑鞋	慢跑鞋 👟
登山靴	登山靴 🥾
防水靴	防水靴 🥾
戶外靴	戶外靴 🥾
平底鞋	平底鞋 🥿
女士鞋	女士鞋 🥿 👠 🩰
舒適鞋	舒適鞋 🥿
高跟鞋	高跟鞋 👠
涼鞋	涼鞋 👡
女士涼鞋	女士涼鞋 👡
夏季鞋	夏季鞋 👡
芭蕾鞋	芭蕾鞋 🩰
舞蹈鞋	舞蹈鞋 🩰
女靴	女靴 👢
長靴	長靴 👢
冬季靴	冬季靴 👢
髮梳	髮梳 🪮
梳子	梳子 🪮
頭髮梳	頭髮梳 🪮
皇冠	皇冠 👑
王冠	王冠 👑
頭飾	頭飾 👑
女帽	女帽 👒
太陽帽	太陽帽 👒
夏季帽	夏季帽 👒
禮帽	禮帽 🎩 🎓
正裝帽	正裝帽 🎩
高帽	高帽 🎩
畢業帽	畢業帽 🎓
學士帽	學士帽 🎓
鴨舌帽	鴨舌帽 🧢
棒球帽	棒球帽 🧢
運動帽	運動帽 🧢
軍帽	軍帽 🪖
頭盔	頭盔 🪖
防護帽	防護帽 🪖 ⛑️
救援帽	救援帽 ⛑️
安全帽	安全帽 ⛑️
念珠	念珠 📿
佛珠	佛珠 📿
手串	手串 📿
口紅	口紅 💄
唇膏	唇膏 💄
彩妝	彩妝 💄
戒指	戒指 💍
婚戒	婚戒 💍
手飾	手飾 💍
寶石	寶石 💎
珠寶	珠寶 💎
裝飾石	裝飾石 💎
靜音	靜音 🔇
無聲	無聲 🔇
關音	關音 🔇
小聲	小聲 🔈
低音	低音 🔈
微音	微音 🔈
中聲	中聲 🔉
中音	中音 🔉
適中音量	適中音量 🔉
大聲	大聲 🔊
高音	高音 🔊
響亮音量	響亮音量 🔊
喇叭	喇叭 📢
擴音器	擴音器 📢 📣
音響	音響 📢
喊話器	喊話器 📣
大聲公	大聲公 📣
號角	號角 📯
喇叭角	喇叭角 📯
音樂角	音樂角 📯
鈴鐺	鈴鐺 🔔 🛎️
鈴聲	鈴聲 🔔
響鈴	響鈴 🔔
禁鈴	禁鈴 🔕
靜音鈴	靜音鈴 🔕
無聲鈴	無聲鈴 🔕
樂譜	樂譜 🎼
曲譜	曲譜 🎼
音符譜	音符譜 🎼
音符	音符 🎵
樂符	樂符 🎵
曲符	曲符 🎵
音符群	音符群 🎶
樂符群	樂符群 🎶
曲符群	曲符群 🎶
麥克風	麥克風 🎙️ 🎤
錄音麥克風	錄音麥克風 🎙️
專業麥克風	專業麥克風 🎙️
音量條	音量條 🎚️
調音條	調音條 🎚️
控制條	控制條 🎚️
控制鈕	控制鈕 🎛️
音量鈕	音量鈕 🎛️
調節鈕	調節鈕 🎛️
手持麥克風	手持麥克風 🎤
唱歌麥克風	唱歌麥克風 🎤
耳機	耳機 🎧
聽音耳機	聽音耳機 🎧
音樂耳機	音樂耳機 🎧
收音機	收音機 📻
廣播機	廣播機 📻
音樂機	音樂機 📻
薩克斯	薩克斯 🎷
管樂器	管樂器 🎷 🎺 🪈
音樂管	音樂管 🎷 🎺 🪈
手風琴	手風琴 🪗
鍵盤樂器	鍵盤樂器 🪗 🎹
音樂琴	音樂琴 🪗
吉他	吉他 🎸
弦樂器	弦樂器 🎸 🎻 🪕 🪉
音樂弦	音樂弦 🎸 🎻 🪕 🪉
鍵盤	鍵盤 🎹 ⌨️ #️⃣ *️⃣ 0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
音樂鍵	音樂鍵 🎹
小號	小號 🎺
小提琴	小提琴 🎻
班卓琴	班卓琴 🪕
鼓	鼓 🥁
打擊樂器	打擊樂器 🥁 🪘 🪇
音樂鼓	音樂鼓 🥁 🪘
長鼓	長鼓 🪘
沙鈴	沙鈴 🪇
音樂鈴	音樂鈴 🪇
長笛	長笛 🪈
豎琴	豎琴 🪉
手機	手機 📱 📳 📴
智能手機	智能手機 📱
通訊設備	通訊設備 📱 ☎️ 📠
手機箭頭	手機箭頭 📲
通訊箭頭	通訊箭頭 📲 📩
聯絡箭頭	聯絡箭頭 📲
座機	座機 ☎️
固定電話	固定電話 ☎️
話筒	話筒 📞
電話筒	電話筒 📞
聯絡筒	聯絡筒 📞
傳呼機	傳呼機 📟
通訊機	通訊機 📟
聯絡機	聯絡機 📟
傳真機	傳真機 📠
聯絡設備	聯絡設備 📠
電池	電池 🔋
能量源	能量源 🔋
電力設備	電力設備 🔋
低電量	低電量 🪫
電池不足	電池不足 🪫
能量不足	能量不足 🪫
插頭	插頭 🔌
電源插頭	電源插頭 🔌
能量插頭	能量插頭 🔌
筆記本	筆記本 💻 📓
移動電腦	移動電腦 💻
信息設備	信息設備 💻 🖥️ 🖨️ ⌨️ 🖱️ 🖲️ 💽 💾 💿 📀 🧮 🔋 🪫 🔌
台式機	台式機 🖥️
固定電腦	固定電腦 🖥️
打印機	打印機 🖨️
輸出設備	輸出設備 🖨️
輸入設備	輸入設備 ⌨️ 🖱️ 🖲️
鼠標	鼠標 🖱️
軌跡球	軌跡球 🖲️
電腦磁盤	電腦磁盤 💽
存儲設備	存儲設備 💽 💾 💿 📀
軟盤	軟盤 💾
光盤	光盤 💿
DVD	DVD 📀
算盤	算盤 🧮
計算工具	計算工具 🧮
攝影機	攝影機 🎥
錄影機	錄影機 🎥
視頻設備	視頻設備 🎥 📺 📷 📸 📹 🕯️ 💡 🔦 🏮 🪔
膠片	膠片 🎞️
視頻膠片	視頻膠片 🎞️
照片膠片	照片膠片 🎞️
放映機	放映機 📽️
視頻放映機	視頻放映機 📽️
照片放映機	照片放映機 📽️
拍板	拍板 🎬
視頻拍板	視頻拍板 🎬
照片拍板	照片拍板 🎬
電視	電視 📺
照明設備	照明設備 📺 📹 🕯️ 💡 🔦 🏮 🪔
相機	相機 📷
照相機	照相機 📷 📸
閃光相機	閃光相機 📸
攝像機	攝像機 📹
錄影帶	錄影帶 📼
視頻帶	視頻帶 📼
照片帶	照片帶 📼
左放大鏡	左放大鏡 🔍
視頻放大鏡	視頻放大鏡 🔍 🔎
照片放大鏡	照片放大鏡 🔍 🔎
右放大鏡	右放大鏡 🔎
蠟燭	蠟燭 🕯️
燈泡	燈泡 💡
手電筒	手電筒 🔦
紅燈籠	紅燈籠 🏮
印度燈	印度燈 🪔
裝飾筆記本	裝飾筆記本 📔
文具本	文具本 📔 📕 📖 📗 📘 📙 📚 📓 📒
書籍本	書籍本 📔 📕 📖 📗 📘 📙
閉合書	閉合書 📕
打開書	打開書 📖
綠書	綠書 📗
藍書	藍書 📘
橙書	橙書 📙
書籍	書籍 📚 📔 📕 📖 📗 📘 📙 📓 📒 📃 📜 📄 📰 🗞️ 📑 🔖 🏷️
書本	書本 📚 📓 📒
賬簿	賬簿 📒
卷頁	卷頁 📃
書頁	書頁 📃 📄
文具頁	文具頁 📃 📄
卷軸	卷軸 📜
書卷	書卷 📜
文具卷	文具卷 📜
向上頁	向上頁 📄
報紙	報紙 📰
文具紙	文具紙 📰 🗞️
書紙	書紙 📰 🗞️ 📔 📕 📖 📗 📘 📙 📚 📓 📒 📃 📜 📄 📑 🔖 🏷️
卷報紙	卷報紙 🗞️
書籤	書籤 📑 🔖
文具籤	文具籤 📑 🔖 🏷️
書籍籤	書籍籤 📑 🔖 🏷️
標籤	標籤 🏷️
錢袋	錢袋 💰
財富袋	財富袋 💰
貨幣袋	貨幣袋 💰
硬幣	硬幣 🪙
貨幣	貨幣 🪙 💴 💵 💶 💷 💸 💰 💳 🧾 💹 💱 💲
金屬幣	金屬幣 🪙
日元	日元 💴
紙幣	紙幣 💴 💵 💶 💷
美元	美元 💵 💲
歐元	歐元 💶
英鎊	英鎊 💷
飛錢	飛錢 💸
財富	財富 💸 💰 🪙 💴 💵 💶 💷 💳 🧾 💹
信用卡	信用卡 💳
財富卡	財富卡 💳
貨幣卡	貨幣卡 💳
收據	收據 🧾
財富單	財富單 🧾
貨幣單	貨幣單 🧾
日元增長	日元增長 💹
財富增長	財富增長 💹
貨幣增長	貨幣增長 💹
信封	信封 ✉️
郵件封	郵件封 ✉️
通訊封	通訊封 ✉️
電子郵件	電子郵件 📧
郵件	郵件 📧 📨 ✉️ 📩 📤 📥 📦 📫 📪 📬 📭 📮 🗳️
通訊	通訊 📧 📨 📱 📲 ☎️ 📞 📟 📠 ✉️ 📩 📤 📥 📦 📫 📪 📬 📭 📮 🗳️
收信	收信 📨
信封箭頭	信封箭頭 📩
郵件箭頭	郵件箭頭 📩
發件箱	發件箱 📤
郵件箱	郵件箱 📤 📥 📫 📪 📬 📭 🗳️
通訊箱	通訊箱 📤 📥 📫 📪 📬 📭 🗳️
收件箱	收件箱 📥
包裹	包裹 📦
郵件包	郵件包 📦
通訊包	通訊包 📦
閉合郵箱	閉合郵箱 📫 📪
打開郵箱	打開郵箱 📬 📭
郵筒	郵筒 📮
郵件筒	郵件筒 📮
通訊筒	通訊筒 📮
投票箱	投票箱 🗳️
鉛筆	鉛筆 ✏️
文具筆	文具筆 ✏️ 🖋️ 🖊️ 🖌️ 🖍️
書寫筆	書寫筆 ✏️ 🖋️ 🖊️ 🖌️ 🖍️
黑筆尖	黑筆尖 ✒️
文具筆尖	文具筆尖 ✒️
書寫筆尖	書寫筆尖 ✒️
鋼筆	鋼筆 🖋️
筆	筆 🖊️
畫筆	畫筆 🖌️
蠟筆	蠟筆 🖍️
備忘錄	備忘錄 📝
文具記錄	文具記錄 📝
書寫記錄	書寫記錄 📝
公文包	公文包 💼
辦公包	辦公包 💼
文件包	文件包 💼
文件夾	文件夾 📁
辦公夾	辦公夾 📁 📂
文具夾	文具夾 📁 📂
打開文件夾	打開文件夾 📂
卡片索引	卡片索引 🗂️ 📇
辦公索引	辦公索引 🗂️ 📇
文具索引	文具索引 🗂️ 📇
日曆	日曆 📅
辦公日曆	辦公日曆 📅 📆 🗓️
文具日曆	文具日曆 📅 📆 🗓️
撕下日曆	撕下日曆 📆
螺旋筆記本	螺旋筆記本 🗒️
辦公筆記本	辦公筆記本 🗒️
文具筆記本	文具筆記本 🗒️
螺旋日曆	螺旋日曆 🗓️
增長圖	增長圖 📈
辦公圖	辦公圖 📈 📉 📊
文具圖	文具圖 📈 📉 📊
減少圖	減少圖 📉
柱狀圖	柱狀圖 📊
剪貼板	剪貼板 📋
辦公板	辦公板 📋
文具板	文具板 📋
大頭針	大頭針 📌
辦公針	辦公針 📌 📍 📎 🖇️
文具針	文具針 📌 📍 📎 🖇️
圓大頭針	圓大頭針 📍
回形針	回形針 📎
連接回形針	連接回形針 🖇️
直尺	直尺 📏
辦公尺	辦公尺 📏 📐
文具尺	文具尺 📏 📐
三角尺	三角尺 📐
剪刀	剪刀 ✂️
辦公剪	辦公剪 ✂️
文具剪	文具剪 ✂️
卡片文件箱	卡片文件箱 🗃️
辦公箱	辦公箱 🗃️
文具箱	文具箱 🗃️
文件櫃	文件櫃 🗄️
辦公櫃	辦公櫃 🗄️
文具櫃	文具櫃 🗄️
垃圾桶	垃圾桶 🗑️ 🚮
辦公桶	辦公桶 🗑️
文具桶	文具桶 🗑️
鎖定	鎖定 🔒
安全鎖	安全鎖 🔒
鑰匙鎖	鑰匙鎖 🔒
解鎖	解鎖 🔓
安全解鎖	安全解鎖 🔓
鑰匙解鎖	鑰匙解鎖 🔓
鎖筆	鎖筆 🔏
安全鎖筆	安全鎖筆 🔏
鑰匙鎖筆	鑰匙鎖筆 🔏
鎖鑰	鎖鑰 🔐
安全鎖鑰	安全鎖鑰 🔐
鑰匙鎖鑰	鑰匙鎖鑰 🔐
鑰匙	鑰匙 🔑 🔒 🔓 🔏 🔐 🗝️
安全鑰匙	安全鑰匙 🔑
鎖鑰匙	鎖鑰匙 🔑
老鑰匙	老鑰匙 🗝️
安全老鑰匙	安全老鑰匙 🗝️
鎖老鑰匙	鎖老鑰匙 🗝️
錘子	錘子 🔨
工具錘	工具錘 🔨
器材錘	器材錘 🔨
斧頭	斧頭 🪓
工具斧	工具斧 🪓
器材斧	器材斧 🪓
鶴嘴鋤	鶴嘴鋤 ⛏️
工具鋤	工具鋤 ⛏️
器材鋤	器材鋤 ⛏️
錘和鋤	錘和鋤 ⚒️
工具錘鋤	工具錘鋤 ⚒️
器材錘鋤	器材錘鋤 ⚒️
錘和扳手	錘和扳手 🛠️
工具錘扳手	工具錘扳手 🛠️
器材錘扳手	器材錘扳手 🛠️
匕首	匕首 🗡️
工具匕	工具匕 🗡️
器材匕	器材匕 🗡️
交叉劍	交叉劍 ⚔️
工具劍	工具劍 ⚔️
器材劍	器材劍 ⚔️
炸彈	炸彈 💣
工具炸	工具炸 💣
器材炸	器材炸 💣
回力鏢	回力鏢 🪃
工具鏢	工具鏢 🪃
器材鏢	器材鏢 🪃
弓箭	弓箭 🏹
工具弓	工具弓 🏹
器材弓	器材弓 🏹
盾牌	盾牌 🛡️
工具盾	工具盾 🛡️
器材盾	器材盾 🛡️
木工鋸	木工鋸 🪚
工具鋸	工具鋸 🪚
器材鋸	器材鋸 🪚
扳手	扳手 🔧
工具扳	工具扳 🔧
器材扳	器材扳 🔧
螺絲刀	螺絲刀 🪛
工具刀	工具刀 🪛
器材刀	器材刀 🪛
螺母和螺栓	螺母和螺栓 🔩
工具螺	工具螺 🔩
器材螺	器材螺 🔩
齒輪	齒輪 ⚙️
工具齒	工具齒 ⚙️
器材齒	器材齒 ⚙️
夾子	夾子 🗜️
工具夾	工具夾 🗜️
器材夾	器材夾 🗜️
天平	天平 ⚖️
工具平	工具平 ⚖️
器材平	器材平 ⚖️
白手杖	白手杖 🦯
工具杖	工具杖 🦯
器材杖	器材杖 🦯
鏈接	鏈接 🔗
工具鏈	工具鏈 🔗 ⛓️‍💥 ⛓️
器材鏈	器材鏈 🔗 ⛓️‍💥 ⛓️
斷鏈	斷鏈 ⛓️‍💥
鏈條	鏈條 ⛓️
鉤子	鉤子 🪝
工具鉤	工具鉤 🪝
器材鉤	器材鉤 🪝
工具箱	工具箱 🧰
器材箱	器材箱 🧰
設備箱	設備箱 🧰
磁鐵	磁鐵 🧲
工具磁	工具磁 🧲
器材磁	器材磁 🧲
梯子	梯子 🪜
工具梯	工具梯 🪜
器材梯	器材梯 🪜
鏟子	鏟子 🪏
工具鏟	工具鏟 🪏
器材鏟	器材鏟 🪏
蒸餾器	蒸餾器 ⚗️
科學器	科學器 ⚗️
實驗器	實驗器 ⚗️
試管	試管 🧪
科學管	科學管 🧪
實驗管	實驗管 🧪
培養皿	培養皿 🧫
科學皿	科學皿 🧫
實驗皿	實驗皿 🧫
DNA	DNA 🧬
科學DNA	科學DNA 🧬
實驗DNA	實驗DNA 🧬
顯微鏡	顯微鏡 🔬
科學鏡	科學鏡 🔬 🔭
實驗鏡	實驗鏡 🔬 🔭
望遠鏡	望遠鏡 🔭
衛星天線	衛星天線 📡
科學天線	科學天線 📡
實驗天線	實驗天線 📡
注射器	注射器 💉
醫療器	醫療器 💉 🩺
健康器	健康器 💉 🩺
血滴	血滴 🩸
醫療血	醫療血 🩸
健康血	健康血 🩸
藥丸	藥丸 💊
醫療藥	醫療藥 💊
健康藥	健康藥 💊
創可貼	創可貼 🩹
醫療貼	醫療貼 🩹
健康貼	健康貼 🩹
拐杖	拐杖 🩼
醫療杖	醫療杖 🩼
健康杖	健康杖 🩼
聽診器	聽診器 🩺
X光	X光 🩻
醫療光	醫療光 🩻
健康光	健康光 🩻
門	門 🚪
家居門	家居門 🚪
家庭門	家庭門 🚪
電梯	電梯 🛗
家居梯	家居梯 🛗
家庭梯	家庭梯 🛗
鏡子	鏡子 🪞
家居鏡	家居鏡 🪞
家庭鏡	家庭鏡 🪞
窗戶	窗戶 🪟
家居窗	家居窗 🪟
家庭窗	家庭窗 🪟
床	床 🛏️
家居床	家居床 🛏️
家庭床	家庭床 🛏️
沙發和燈	沙發和燈 🛋️
家居沙發	家居沙發 🛋️
家庭沙發	家庭沙發 🛋️
椅子	椅子 🪑
家居椅	家居椅 🪑
家庭椅	家庭椅 🪑
馬桶	馬桶 🚽
家居馬桶	家居馬桶 🚽
家庭馬桶	家庭馬桶 🚽
馬桶吸	馬桶吸 🪠
家居吸	家居吸 🪠
家庭吸	家庭吸 🪠
淋浴	淋浴 🚿
家居淋浴	家居淋浴 🚿
家庭淋浴	家庭淋浴 🚿
浴缸	浴缸 🛁
家居浴缸	家居浴缸 🛁
家庭浴缸	家庭浴缸 🛁
捕鼠器	捕鼠器 🪤
家居捕鼠器	家居捕鼠器 🪤
家庭捕鼠器	家庭捕鼠器 🪤
剃刀	剃刀 🪒
家居剃刀	家居剃刀 🪒
家庭剃刀	家庭剃刀 🪒
潤膚瓶	潤膚瓶 🧴
家居瓶	家居瓶 🧴
家庭瓶	家庭瓶 🧴
安全別針	安全別針 🧷
家居別針	家居別針 🧷
家庭別針	家庭別針 🧷
掃帚	掃帚 🧹
家居掃帚	家居掃帚 🧹
家庭掃帚	家庭掃帚 🧹
籃子	籃子 🧺
家居籃	家居籃 🧺
家庭籃	家庭籃 🧺
紙卷	紙卷 🧻
家居紙	家居紙 🧻
家庭紙	家庭紙 🧻
桶	桶 🪣
家居桶	家居桶 🪣
家庭桶	家庭桶 🪣
肥皂	肥皂 🧼
家居皂	家居皂 🧼
家庭皂	家庭皂 🧼
泡泡	泡泡 🫧
家居泡	家居泡 🫧
家庭泡	家庭泡 🫧
牙刷	牙刷 🪥
家居刷	家居刷 🪥
家庭刷	家庭刷 🪥
海綿	海綿 🧽
家居綿	家居綿 🧽
家庭綿	家庭綿 🧽
滅火器	滅火器 🧯
家居器	家居器 🧯
家庭器	家庭器 🧯
購物車	購物車 🛒
家居車	家居車 🛒
家庭車	家庭車 🛒
香煙	香煙 🚬
其他煙	其他煙 🚬
雜物煙	雜物煙 🚬
棺材	棺材 ⚰️
其他棺	其他棺 ⚰️
雜物棺	雜物棺 ⚰️
墓碑	墓碑 🪦
其他碑	其他碑 🪦
雜物碑	雜物碑 🪦
骨灰罈	骨灰罈 ⚱️
其他罈	其他罈 ⚱️
雜物罈	雜物罈 ⚱️
護身符	護身符 🧿
其他符	其他符 🧿
雜物符	雜物符 🧿
哈姆薩	哈姆薩 🪬
其他薩	其他薩 🪬
雜物薩	雜物薩 🪬
摩艾	摩艾 🗿
其他艾	其他艾 🗿
雜物艾	雜物艾 🗿
標語牌	標語牌 🪧
其他牌	其他牌 🪧
雜物牌	雜物牌 🪧
身份證	身份證 🪪
其他證	其他證 🪪
雜物證	雜物證 🪪
揮手	揮手 👋 🤚 🖐️ ✋ 🖖 🫱 🫲 🫳 🫴 🫷 🫸
打招呼	打招呼 👋
手勢	手勢 👋 👌 🤟 🤘 🤙 🤌 🤏 ✌️ 🤞 🫰
手背	手背 🤚
舉手	舉手 🤚 ✋ 🙌
背手	背手 🤚
張開手	張開手 🖐️
五指張開	五指張開 🖐️
手掌	手掌 🖐️ ✋
停止	停止 ✋ ⛔ ⏸️ ⏹️
瓦肯禮	瓦肯禮 🖖
星際迷	星際迷 🖖
禮手	禮手 🖖
右手	右手 🫱
向右手	向右手 🫱
右指	右指 🫱
左手	左手 🫲
向左手	向左手 🫲
左指	左指 🫲
手心向下	手心向下 🫳
向下手	向下手 🫳
掌下	掌下 🫳
手心向上	手心向上 🫴
向上手	向上手 🫴
掌上	掌上 🫴
左推手	左推手 🫷
推左手	推左手 🫷
左掌	左掌 🫷
右推手	右推手 🫸
推右手	推右手 🫸
右掌	右掌 🫸
OK手	OK手 👌
勝利手	勝利手 👌 ✌️
捏手	捏手 🤌
手指捏	手指捏 🤌
捏	捏 🤌
捏手指	捏手指 🤏
小捏	小捏 🤏
捏住	捏住 🤏
V手	V手 ✌️
勝利	勝利 ✌️
交叉手指	交叉手指 🤞
祈願手	祈願手 🤞
交叉	交叉 🤞
手指交叉	手指交叉 🫰
小手勢	小手勢 🫰
交叉手	交叉手 🫰
愛你手	愛你手 🤟
愛心手	愛心手 🤟 🫶
搖滾手	搖滾手 🤘
搖滾	搖滾 🤘
打電話手	打電話手 🤙
電話	電話 🤙 📱 📲 ☎️ 📞 📟 📠
讚	讚 👍 👏 🙌
噓	噓 👎
拳頭	拳頭 ✊
揮拳	揮拳 👊
左拳	左拳 🤛
右拳	右拳 🤜
鼓掌	鼓掌 👏
張手	張手 👐
合掌	合掌 🤲
握手	握手 🤝
祈禱	祈禱 🙏 🛐
寫字	寫字 ✍️
指甲油	指甲油 💅
自拍	自拍 🤳
笑臉	笑臉 😀 😁 ☺️ 🤪 😃 😄 😆 😅 🤣 😂 🙂 🙃 🫠 😉 😊 😇
開心	開心 😀 😃 😄 😁 😆 😅 😂 🙃 😊 🥰 😍 🤩 ☺️ 😋 😛 😜 🤪 😝 🤑 🤗 🫢 🤔 🫡 😏 🤣 🙂 🫠 😉 😇
臉笑	臉笑 😀
大笑	大笑 😃 🤣
笑容	笑容 😃 😄 😁 😆 🙂 😊
笑眼	笑眼 😄
笑眯	笑眯 😆
苦笑	苦笑 😅
笑汗	笑汗 😅
笑翻	笑翻 🤣
滾笑	滾笑 🤣
笑哭	笑哭 😂
哭笑	哭笑 😂 🥲
微笑	微笑 🙂 😉 😊 😇 😗 ☺️ 😚 😙 🥲 🤗 🤭 🫢 🫣 🤫 🤔 🫡 🤐 🤨 😐 😑 😶 🫥 😶‍🌫️ 😏 😒 🙄 😬 😮‍💨 🤥 🫨 🙂‍↔️ 🙂‍↕️ 😌 😔 😪 🤤 😴 🫩 😷 🤒 🤕 🤢 🤮 🤧 🥵 🥶 🥴 😵 😵‍💫 🤯 🤠 🥳 🥸 😎 🤓 🧐 😕 🫤 😟 🙁 ☹️ 😮 😯 😲 😳 🥺 🥹 😦 😧 😨 😰 😥 😢 😭 😱 😖 😣 😞 😓 😩 😫 🥱 😤 😡 😠 🤬 😈 👿 💀 ☠️ 💩 🤡 👹 👺 👻 👽 👾 🤖 😺 😸 😹 😻 😼 😽 🙀 😿 😾 🙈 🙉 🙊 💌 💘 💝 💖 💗 💓 💞 💕 💟 ❣️ 💔 ❤️‍🔥 ❤️‍🩹 ❤️ 🩷 🧡 💛 💚 💙 🩵 💜 🤎 🖤 🩶 🤍 💋 💯 💢 💥 💫 💦 💨 🕳️ 💬 👁️‍🗨️ 🗨️ 🗯️ 💭 💤 😀 😃 😄 😁 😆 😅 🤣 😂 🙃 🫠
淡笑	淡笑 🙂
倒笑	倒笑 🙃
反笑	反笑 🙃
融化	融化 🫠
溶解	溶解 🫠
笑融	笑融 🫠
眨眼	眨眼 😉
眨笑	眨笑 😉
天使	天使 😇
光環	光環 😇
心笑	心笑 🥰
愛心	愛心 🥰 😍 😘 😗 😚 😙 💌 💘 💝 💖 💗 💓 💞 💕 💟 ❣️ 💔 ❤️‍🔥 ❤️‍🩹 ❤️ 🩷 🧡 💛 💚 💙 🩵 💜 🤎 🖤 🩶 🤍
心眼	心眼 😍
星眼	星眼 🤩
驚喜	驚喜 🤩
飛吻	飛吻 😘
親吻	親吻 😘 😗
親臉	親臉 😚
笑吻	笑吻 😙
淚笑	淚笑 🥲
美味	美味 😋 😛 😜 🤪 😝 🤑
舌臉	舌臉 😋 😛
搞怪	搞怪 😛 😜 🤪 😝 🤑 😋
眨舌	眨舌 😜
笑舌	笑舌 😝
錢嘴	錢嘴 🤑
擁抱	擁抱 🤗 🤭 🫢 🫣 🤫 🤔 🫡
捂嘴	捂嘴 🤭
